Wavelength,Flux,BestFit,SkyFlux
3966.433,65.527,58.279,6.319
3967.345,60.083,58.813,6.321
3968.258,58.277,58.460,6.035
3969.173,59.969,58.732,5.450
3970.086,57.711,58.817,5.048
3971.002,55.903,59.246,5.229
3971.915,60.753,59.458,5.966
3972.831,59.893,58.751,6.972
3973.745,57.355,59.139,8.001
3974.659,59.755,59.692,9.162
3975.576,61.263,58.911,10.114
3976.490,59.254,58.646,10.622
3977.407,60.177,59.469,10.725
3978.322,61.612,59.929,10.521
3979.240,61.784,59.622,10.688
3980.155,63.632,59.887,11.193
3981.071,62.916,59.399,11.746
3981.989,64.253,59.038,11.944
3982.905,60.496,59.038,11.218
3983.823,58.752,58.898,11.092
3984.740,64.026,59.445,11.363
3985.659,63.225,59.653,11.407
3986.576,64.559,59.236,10.661
3987.493,67.554,59.026,9.873
3988.412,64.215,58.725,10.509
3989.330,64.152,58.064,12.046
3990.250,63.648,59.082,12.026
3991.168,61.819,59.789,10.752
3992.088,60.644,59.770,10.253
3993.006,57.308,59.880,10.520
3993.925,58.074,60.247,10.812
3994.846,60.604,60.230,10.852
3995.765,65.145,59.835,10.684
3996.686,67.374,59.831,10.544
3997.606,63.652,59.725,10.520
3998.528,62.417,59.878,10.889
3999.447,61.481,60.303,11.631
4000.368,56.167,60.371,12.176
4001.290,60.982,59.952,11.402
4002.211,65.826,60.578,10.223
4003.133,65.843,60.488,9.917
4004.054,64.307,60.354,10.444
4004.978,63.457,60.533,10.922
4005.899,63.915,60.276,10.882
4006.821,64.267,59.593,11.316
4007.745,60.658,59.666,13.063
4008.666,60.317,59.724,14.653
4009.591,61.088,59.619,16.000
4010.513,58.323,59.534,16.286
4011.438,57.145,59.541,15.125
4012.361,58.904,59.503,14.422
4013.284,55.543,59.185,14.816
4014.209,54.928,58.809,15.264
4015.133,61.763,58.920,14.895
4016.059,63.828,59.203,13.362
4016.983,63.127,58.868,12.686
4017.909,53.295,58.133,13.397
4018.833,57.028,57.782,13.833
4019.758,64.447,58.451,13.986
4020.685,57.130,58.999,15.135
4021.610,57.399,58.970,16.162
4022.537,59.934,58.846,15.517
4023.462,58.830,58.597,14.427
4024.390,60.135,58.617,14.387
4025.316,56.594,58.753,14.124
4026.242,56.116,58.528,12.997
4027.171,64.265,58.627,12.051
4028.097,62.723,59.432,11.685
4029.026,65.415,58.840,12.061
4029.953,58.258,58.667,12.209
4030.882,55.884,58.769,12.249
4031.809,57.406,58.809,12.468
4032.739,58.618,58.561,12.320
4033.667,62.307,58.245,12.043
4034.595,61.023,58.652,11.448
4035.525,65.289,58.811,11.216
4036.453,57.048,58.746,11.606
4037.384,56.668,58.299,12.190
4038.313,59.259,57.958,12.786
4039.244,55.585,58.045,12.950
4040.173,58.090,57.461,13.669
4041.103,58.420,57.941,13.681
4042.035,51.785,58.214,15.020
4042.965,53.183,58.195,15.759
4043.897,58.811,58.464,17.200
4044.827,55.592,58.720,18.145
4045.760,55.386,57.601,21.538
4046.691,61.440,57.953,30.737
4047.622,54.638,57.923,39.881
4048.555,56.687,57.790,37.528
4049.486,57.806,58.024,28.615
4050.420,57.817,58.231,19.560
4051.352,59.769,58.068,16.310
4052.286,57.181,57.661,15.131
4053.218,59.560,57.443,13.640
4054.151,58.557,57.291,13.458
4055.086,56.465,57.173,14.382
4056.019,60.062,57.106,13.985
4056.954,62.688,56.847,12.965
4057.887,58.518,57.415,12.385
4058.823,57.433,57.705,12.639
4059.757,59.347,57.774,13.668
4060.691,57.216,57.944,15.018
4061.627,54.141,58.125,15.222
4062.561,55.529,57.908,14.135
4063.498,56.682,56.948,13.501
4064.433,60.704,57.030,15.085
4065.370,59.718,57.663,18.234
4066.305,53.691,57.955,19.828
4067.241,54.363,57.727,18.231
4068.179,56.347,57.316,15.926
4069.115,55.731,57.387,15.479
4070.053,55.656,57.445,15.996
4070.989,58.642,57.514,15.632
4071.928,63.315,57.400,15.441
4072.865,52.433,57.022,15.910
4073.802,59.406,57.232,14.730
4074.741,54.451,57.228,13.066
4075.679,55.144,57.508,13.867
4076.618,55.709,57.503,16.726
4077.556,53.360,57.193,19.286
4078.497,57.511,57.170,19.337
4079.435,62.337,57.138,17.372
4080.373,54.940,56.508,16.064
4081.314,52.493,56.927,16.230
4082.253,53.741,56.981,16.286
4083.194,58.785,56.360,15.544
4084.134,58.425,56.376,13.869
4085.076,57.266,56.862,13.364
4086.015,57.305,57.112,14.028
4086.955,55.508,57.342,15.121
4087.898,56.456,57.414,15.507
4088.838,59.716,57.345,14.295
4089.781,56.607,57.477,12.620
4090.722,53.220,57.861,11.922
4091.665,55.844,57.277,12.791
4092.606,58.489,57.094,13.502
4093.548,54.499,57.415,13.420
4094.492,52.725,57.836,13.036
4095.434,53.054,58.064,13.090
4096.378,51.775,57.853,13.317
4097.321,49.633,57.412,13.396
4098.265,53.271,57.589,12.680
4099.208,61.090,57.655,11.769
4100.151,58.625,57.332,11.726
4101.097,55.654,57.079,12.094
4102.040,53.837,56.940,11.440
4102.986,59.497,57.562,10.473
4103.930,54.125,57.402,9.905
4104.876,61.800,57.294,9.807
4105.821,61.903,57.617,10.114
4106.768,55.611,57.792,10.630
4107.712,57.603,58.043,11.393
4108.657,57.382,57.899,11.922
4109.605,53.376,57.555,11.961
4110.550,54.668,57.565,11.793
4111.498,53.056,57.881,11.575
4112.444,56.299,57.948,11.444
4113.392,57.390,57.716,11.241
4114.338,54.938,57.985,11.358
4115.285,53.999,57.896,11.988
4116.234,54.821,57.713,12.359
4117.181,56.831,57.590,11.790
4118.130,60.500,57.400,10.891
4119.078,60.556,57.486,10.143
4120.027,54.382,57.185,10.005
4120.975,55.561,57.702,10.741
4121.923,55.844,58.077,11.537
4122.874,56.758,57.843,12.234
4123.822,54.937,57.681,12.404
4124.773,57.466,57.748,13.058
4125.722,56.769,57.628,13.690
4126.673,54.648,57.519,13.470
4127.623,55.726,57.567,13.296
4128.572,53.053,57.834,13.680
4129.524,54.701,58.116,14.204
4130.474,57.755,57.866,13.910
4131.427,51.445,57.565,12.856
4132.377,54.802,57.732,12.667
4133.330,53.388,57.656,13.113
4134.281,54.064,57.540,13.263
4135.232,54.485,57.901,12.777
4136.186,54.729,57.605,12.989
4137.137,57.087,57.910,13.545
4138.091,56.342,57.919,13.708
4139.043,53.697,57.770,13.822
4139.998,56.019,58.020,13.511
4140.950,55.456,58.548,13.446
4141.903,53.661,58.378,13.344
4142.858,54.268,58.627,11.546
4143.811,57.699,58.553,9.980
4144.766,55.292,58.342,10.208
4145.720,58.166,58.316,11.355
4146.676,62.975,58.473,12.147
4147.630,55.593,58.726,12.432
4148.584,56.061,58.713,12.158
4149.541,54.757,58.884,11.192
4150.495,55.237,58.870,10.654
4151.452,55.588,58.844,11.343
4152.407,56.519,59.102,12.293
4153.365,55.344,58.685,12.646
4154.320,58.842,58.526,12.794
4155.276,59.575,58.640,13.331
4156.234,55.062,58.213,14.409
4157.190,53.406,57.521,15.274
4158.149,56.195,57.376,15.213
4159.106,59.107,57.362,14.590
4160.065,52.004,58.713,14.966
4161.022,58.389,59.469,14.633
4161.979,60.344,59.311,14.079
4162.939,56.733,59.084,14.799
4163.896,54.553,59.450,15.599
4164.857,57.468,59.891,16.764
4165.815,60.171,59.736,18.137
4166.775,60.428,59.449,18.477
4167.734,60.118,59.200,18.193
4168.693,55.519,58.750,17.723
4169.654,56.131,58.345,17.291
4170.613,59.170,59.111,16.964
4171.575,54.798,59.003,16.317
4172.535,53.772,59.091,15.965
4173.497,56.227,59.324,16.058
4174.457,55.454,59.240,15.862
4175.417,54.896,58.762,14.655
4176.380,56.771,58.256,13.469
4177.341,56.444,58.240,13.980
4178.304,55.443,58.561,14.671
4179.265,57.763,58.981,14.633
4180.229,54.839,59.022,14.299
4181.191,59.433,58.497,14.189
4182.155,52.991,58.321,13.722
4183.117,61.142,58.696,13.166
4184.079,59.769,57.978,12.629
4185.044,57.228,57.140,12.510
4186.007,57.115,57.302,12.863
4186.972,53.892,58.170,12.905
4187.935,54.217,58.522,12.334
4188.901,57.267,58.748,11.112
4189.865,53.819,58.415,11.663
4190.829,58.277,58.109,12.929
4191.795,53.180,58.259,12.375
4192.759,59.120,58.586,12.463
4193.726,55.818,58.578,12.979
4194.691,55.460,58.308,12.516
4195.658,55.977,57.649,11.921
4196.624,53.923,57.329,11.823
4197.589,55.751,57.362,11.259
4198.557,58.462,57.262,9.872
4199.523,54.154,57.398,9.166
4200.491,55.175,57.055,10.157
4201.457,54.650,56.574,11.205
4202.426,58.412,57.596,11.180
4203.393,55.424,58.690,10.508
4204.360,55.277,57.712,10.160
4205.330,53.940,57.724,10.471
4206.297,53.471,58.254,10.965
4207.267,56.218,57.469,11.436
4208.235,56.788,57.081,12.296
4209.205,55.323,57.287,13.069
4210.174,58.328,56.720,12.642
4211.142,58.146,56.578,11.468
4212.113,53.899,57.379,10.746
4213.082,50.507,57.019,11.206
4214.054,51.415,56.173,11.952
4215.023,52.290,56.181,11.585
4215.995,53.968,56.891,11.130
4216.965,57.477,56.460,11.356
4217.935,57.549,56.007,11.651
4218.908,55.288,56.180,11.263
4219.878,56.672,56.017,10.793
4220.851,52.853,55.848,10.842
4221.822,53.770,56.675,11.035
4222.796,53.790,57.192,11.561
4223.767,54.615,56.951,11.498
4224.739,57.784,57.235,11.083
4225.713,57.121,57.265,11.071
4226.685,52.921,56.852,10.900
4227.660,53.135,56.762,10.013
4228.633,57.725,56.831,8.969
4229.608,58.843,57.183,9.049
4230.581,55.748,57.481,10.731
4231.554,52.641,57.718,11.898
4232.530,52.939,57.904,11.079
4233.504,56.271,57.927,10.466
4234.480,56.968,57.696,11.493
4235.454,51.262,57.188,12.159
4236.431,55.022,57.306,11.598
4237.405,57.322,57.584,10.744
4238.380,55.813,57.756,10.401
4239.357,57.006,57.904,10.808
4240.333,57.491,57.433,10.609
4241.310,57.509,56.672,10.293
4242.286,57.661,56.388,11.253
4243.264,50.108,56.833,11.631
4244.241,57.740,57.443,10.517
4245.217,53.096,57.412,10.198
4246.196,54.162,56.914,12.566
4247.173,55.750,57.176,14.629
4248.152,55.511,57.633,15.148
4249.129,55.668,57.464,14.180
4250.109,54.623,57.272,12.499
4251.087,55.675,57.628,11.472
4252.065,60.336,56.874,11.904
4253.045,54.214,57.421,12.699
4254.024,58.460,57.027,12.963
